start,end,text
0.0,3.8,hello hello sandy brooks
3.81,6.05,hello hello sandy brooks booked hairdressing appointment
6.06,10.91,booked hairdressing appointment contact lenses
10.92,12.74,contact lenses wait chair
12.75,29.02,wait chair assistant isn't hello
29.03,32.33,assistant isn't hello randy hello sandy
32.34,33.77,randy hello sandy come into room tell
33.78,60.02,come into room tell herro sorry
60.03,66.41,herro sorry dreaming
66.42,70.48,dreaming alive darker deep shade brown
70.49,73.7,alive darker deep shade brown contact lenses brownish
73.71000000000002,76.96000000000002,contact lenses brownish bluish color step
76.97,82.39,bluish color step bath go
82.4,103.87,bath go get kit
103.88,109.6,enter someone's smell nice
109.61,133.25,enter someone's smell nice buff body
133.26,136.91,buff body go amazing yes
136.92000000000002,144.25,go amazing yes perfect
144.26,147.19,perfect home
147.2,151.59,home amazing wow gee
151.6,156.92000000000004,amazing wow gee stunning randy
