start,end,text
0.0,3.2,music
3.6,6.88,narrator prestigious girls boarding school
6.88,10.68,students behaved educated
11.02,15.32,girls sleep rooms identical beds furniture
15.32,19.92,music continues
20.06,23.3,morning girls go into dining hall eat
23.66,29.0,go walk teacher get sun exercise
31.34,36.8,told beginning girls educated behaved
36.88,39.68,goes wonderfully school
39.68,44.58,exception disagreement girls teacher
44.84,48.05,teacher girls good news
48.06,51.32,got uniforms school s band
51.42,52.8,girls awwww
52.92,54.6,teacher aren t happy
54.6,56.94,having band school nice
57.1,61.72,mb yes s nice cheerleading team
62.06,62.96,rocker
62.96,66.32,schools cheerleaders
66.5,70.7,teacher m sorry cheerleaders school
71.12,74.7,ve told times stop asking
75.1,80.24,millie laura patty go get band uniforms
80.76,81.78,narrator later
82.38,84.94,teacher nice
84.94,88.52,band schools
88.52,90.39,girls s practice
94.28,96.62,mmm lucky
96.62,99.36,pretty uniforms
100.2,101.78,rocker
101.78,104.44,stuck cheerleading team
104.76,105.44,miss baby girls
105.6,109.58,don t think s weird teacher doesn t cheerleaders school
110.06,112.84,come lets activities
114.16,115.96,cheerleaders
116.4,117.42,rocker hmmm
117.62,118.94,s weird
119.22,122.94,teacher doesn t cheerleaders school
123.5,126.32,teacher
127.26,128.45,s wrong girls
128.46,129.76,sad
129.76,131.4,come watch band practice
131.82,135.3,rocker s cheerleaders
135.98,140.2,s dream teacher
142.12,145.42000000000004,teacher sighs ll tell
145.42000000000004,151.9,long time ago came boarding school
152.78,153.78,cheerleaders fired
153.78,154.78,sizzling
154.78,156.54,turning heat
156.84,160.5,comes sport team t beat
160.64,161.6,young teacher
161.6,167.02,love cheerleader girls won t team
167.66,170.14,ll ask join
171.8,172.8,hi
173.46,175.2,join cheerleading team
175.2,179.98,ve practicing month think ve gotten lot
180.74,182.34,mc swag
182.6,183.6,young teacher fired
183.76,186.7,gre pause fired
186.72,187.84,sizzling
188.0,189.88,turning heat
190.04,193.92,comes sport team t beat
194.1,197.5,mc swag haha
197.66,200.76,diva worse time
200.9,203.18,cheerleaders hahahaha
