start,end,text
3.87,6.83,feel frustration constant whisper
6.84,8.48,feel frustration constant whisper closer achieving
8.49,13.64,closer achieving dreams mister shelley beautiful
13.65,18.34,dreams mister shelley beautiful isn't old
18.35,20.32,isn't old old asking
20.33,24.54,old asking 16
24.55,28.32,enemy felt alive come away
28.33,30.17,enemy felt alive come away involved
30.18,33.27,involved coleman soul
33.28,35.43,coleman soul longer allow
35.44,37.86,longer allow contain think
37.87,39.86,contain think exciting things approaching
39.87,42.29,exciting things approaching project
42.3,43.79,project story's told hi pheromones
43.8,45.32,story's told hi pheromones source
45.33,47.22,source women direct movie saudi arabia
47.23,50.25,women direct movie saudi arabia struggle
50.26,52.25,struggle lot things mary
52.26,54.54,lot things mary struggling life
54.55,56.79,struggling life get film roger
56.8,60.03,get film roger submitted saturated content
60.04,62.43,submitted saturated content oscars critical
62.44,64.59,oscars critical success go
64.6,67.05,success go hoops
67.06,68.37,hoops surrounded misogyny
68.38,70.65,surrounded misogyny mary understood
70.66,73.13,mary understood character coming
73.14,75.53999999999998,character coming incredible passion possibly
75.55,77.99,incredible passion possibly mary's story honest
78.0,80.7,mary's story honest truthful way shows definitely
80.71000000000002,82.13,truthful way shows definitely shows tap into characters
82.14,86.01,shows tap into characters played percy claire
86.02,88.64,played percy claire obviously real life people
88.65,90.89,obviously real life people spotlight
90.9,92.82,spotlight able tap
92.83,95.16,able tap into portray
95.17,96.8,into portray accurately possible use
96.81,99.3,accurately possible use script period
99.31,103.83,script period baseline think claire speak
103.84,105.21,baseline think claire speak party think
105.22,107.37,party think definitely isn't
107.38,110.01,definitely isn't get biographies
110.02,112.16,get biographies percy mary shelley's
112.17,113.96,percy mary shelley's she'll mentioned people
113.97,117.69,she'll mentioned people mothered byron's child think
117.7,121.52,mothered byron's child think tapping into
121.53,126.24,tapping into feeling young teenager
126.25,129.6,feeling young teenager seek wanting seek
129.61,134.69,seek wanting seek acceptance love sex art
134.7,137.49,acceptance love sex art universal theme
137.5,139.53,universal theme young people go
139.54,140.9,young people go treated
140.91,145.22,treated coming age story sort
145.23,146.57999999999996,coming age story sort biopic didn't
146.59,150.5,biopic didn't way think
150.51,152.61,way think percy
152.62,155.5,percy claire
155.51,158.0,love
158.01,159.53,love biographies read lot
159.54,161.72,biographies read lot work read getting
161.73,164.69,work read getting idea person
164.7,168.14,idea person young guy sort went god got
168.15,171.29,young guy sort went god got terribly bullied child
171.3,173.47,terribly bullied child extremely passionate science
173.48,175.4,extremely passionate science think passed later passed
175.41,178.4,think passed later passed mary led frank
178.41,180.08,mary led frank steinem interesting
180.09,183.77,steinem interesting young guy sort
183.78,185.93,young guy sort excommunicated family
185.94,189.55,excommunicated family chasing ideals
189.56,191.87,chasing ideals believed believed
191.88,194.66,believed believed matter cost
194.67,197.58,matter cost film think comes cost
197.59,199.52,film think comes cost unhappiness lot people
199.53,201.94,unhappiness lot people end
201.95,203.69,end day appalling beautiful
203.7,206.53,day appalling beautiful beautiful work
206.54,207.89,beautiful work incredible novels
207.9,210.8,incredible novels written mary
210.81,211.97,written mary raised ashes
211.98,213.58,raised ashes despair think
213.59,215.63,despair think costumes helped get into characters
215.64,218.3,costumes helped get into characters beautiful went
218.31,220.61,beautiful went course hit yes come
220.62,222.11,course hit yes come uncomfortable
222.12,226.4,uncomfortable uncomfortable day day
226.41,228.53,uncomfortable day day helps posture
228.54,230.0,helps posture somebody's movie
230.01,231.31,somebody's movie watch weird
231.32,234.77,watch weird itchy move help
234.78,236.9,itchy move help posture ruins
236.91,238.46,posture ruins insides means eat
238.47,241.07,insides means eat
260.07,265.12,called nightmare curse
265.13,268.45,called nightmare curse incubus angel fallen grace
268.46,274.24,incubus angel fallen grace insatiable love
274.25,281.44,insatiable love painter henry fuseli
281.45,283.17,painter henry fuseli mother's love
283.18,285.31,mother's love she's tried kill
285.32,287.77,she's tried kill overdose revolt left
287.78,293.2,overdose revolt left woman reconciled
293.21,295.8400000000001,woman reconciled strong mother
295.85,299.53,strong mother fun ramble came love love
299.54,302.67,fun ramble came love love way paths
302.68,306.4,way paths werewolves fear prey
306.41,307.96,werewolves fear prey wasn't impervious pain
307.97,311.32,wasn't impervious pain heartbreak
311.33,315.46,heartbreak rest funny story yes
315.47,317.44,rest funny story yes period story period piece
317.45,319.45,period story period piece way
319.46,321.55,way obviously felt
321.56,325.24,obviously felt modern instead didn't
325.25,327.79,modern instead didn't focus aspect
327.8,331.18,focus aspect focusing
331.19,333.1,focusing life emotions
333.11,334.93,life emotions goes cuz
334.94,337.0900000000001,goes cuz people people mary
337.1,338.4,people people mary shelley think wrote
338.41,339.96,shelley think wrote frankenstein school read
339.97,342.37,frankenstein school read frankenstein learned little
342.38,343.77,frankenstein learned little talk
343.78,345.67,talk mainly portion
345.68,348.04,mainly portion geneva
348.05,350.71,geneva interesting aspect mean
350.72,352.51,interesting aspect mean she's extraordinary
352.52,355.39,she's extraordinary important people especially
355.4,357.19,important people especially think inspiring
357.2,359.44,think inspiring movie women young girls
359.45,361.77,movie women young girls walk away film
361.78,364.12,walk away film woman help feel
364.13,366.15,woman help feel empowered invincible
366.16,368.4,empowered invincible come mary
368.41,370.21,come mary shelley's story making
370.22,372.96,shelley's story making film mean knew
372.97,375.55,film mean knew story
375.56,377.62,story gone percy
377.63,380.35,gone percy didn't mother
380.36,383.58,didn't mother basically feminist
383.59,386.64,basically feminist wrote book wrote
386.65,390.09,wrote book wrote didn't background way
390.1,392.82,didn't background way pretty new
392.83,394.86,pretty new twitch
394.87,398.04,twitch course googled mary shelley lot
398.05,400.23,course googled mary shelley lot who's definitely googled lot
400.24,401.94,who's definitely googled lot
404.65,407.31,wikipedia
407.32,411.21,wikipedia videos
411.22,414.6,videos able mimic voice certain
414.61,416.58,able mimic voice certain point
416.59,418.59,point computer anymore
418.6,421.35,computer anymore facts stick story
421.36,422.67,facts stick story script given
422.68,424.71,script given beautiful script matters
424.72,426.15,beautiful script matters character she's
426.16,428.52,character she's worked
428.53,432.03,worked inside
432.04,434.31,inside matter
434.32,436.95,matter inside beliefs
436.96,439.2,inside beliefs feeling think lot
439.21,442.17,feeling think lot time felt confused
442.18,445.41,time felt confused contradicted feel growing
445.42,448.62,contradicted feel growing woman feel confused lot
448.63,451.71,woman feel confused lot time young
451.72,454.74,time young believe
454.75,457.38,believe 18 dead turn 18
457.39,459.75,18 dead turn 18 filming movie
459.76,461.25,filming movie time precious time
461.26,464.43,time precious time adult
464.44,465.78,adult figuring
465.79,468.9,figuring confusing
468.91,471.72,confusing definitely paralleled
471.73,474.93,definitely paralleled personal life looking
474.94,480.23,personal life looking wow happen year
480.24,484.32,little
484.33,488.07,little stuff make make fit
488.08,492.48,stuff make make fit hour hours
492.49,496.41,hour hours
496.42,498.03,happen
498.04,499.2,happen astonishing wrote book
499.21,501.96,astonishing wrote book 18 age
501.97,504.27,18 age she'd lost
504.28,507.06,she'd lost child she'd run away home
507.07,510.12,child she'd run away home percy married time
510.13,511.53,percy married time sister finds
511.54,514.62,sister finds sisters sleeping percy
514.63,517.29,sisters sleeping percy she's gone into
517.3,519.39,she's gone into point definitely book
519.4,521.37,point definitely book climax she's
521.38,523.46,climax she's letting
523.47,526.59,letting read frankenstein
526.6,530.67,read frankenstein gothic
530.68,533.25,gothic novel think
533.26,536.18,novel think thing nice
536.19,538.59,thing nice movie shown people
538.6,540.5,movie shown people
540.51,542.57,book think mary sees
542.58,545.0,book think mary sees monster
545.01,547.71,monster franken victor frankenstein
547.72,550.29,franken victor frankenstein thinks percy he's created
550.3,552.54,thinks percy he's created he's
552.55,554.22,he's life
554.23,556.11,life interesting tale
556.12,559.86,interesting tale recognize victor
559.87,565.01,recognize victor frankenstein ghost story
565.02,567.48,frankenstein ghost story chilled bone get
567.49,570.6,chilled bone get story published marry curious subject
570.61,572.55,story published marry curious subject matter young lady suggesting
572.56,575.55,matter young lady suggesting work beans mister shell
575.56,578.09,work beans mister shell story
578.1,580.4,dare question woman's ability
580.41,581.93,dare question woman's ability experience loss
581.94,584.74,experience loss
