start,end,text
6.2,10.32,hello
8.73,12.9,november time start thinking
10.32,15.0,thanksgiving
12.9,16.77,make unique centerpiece
15.0,20.4,set mood memorable
16.77,29.31,holiday get started
20.4,33.39,clear vase acorns went
29.31,41.16,acorn hunt outside plastic pumpkins
33.39,45.03,gourds battery powered lights glittery
41.16,52.55,yellow orange paint paint
45.03,56.01,pumpkins gourds gives
52.55,58.94,pretty layer sparkle place end
56.01,61.3,lights into clear vase fill
58.94,64.43,base pumpkins gourds
61.3,67.35,acorns curve lights
64.43,69.18,inside v's go
67.35,72.63,brim add battery pack
69.18,75.26,cover pack pumpkins turn
72.63,75.26,lights
76.84,82.03999999999998,thing centerpiece
79.1,86.23,time consuming expensive
82.03999999999998,86.23,nice lights
92.65,100.04,prepared people complement
95.24,102.05,table thanksgiving
100.04,104.54,watching
102.05,106.79,thumbs leave
104.54,110.56,comment love chat
106.79,110.56,time
