start,end,text
0.0,13.19,watch girls
13.2,15.47,watch girls water park got jump
15.48,17.09,water park got jump pirate pearl sit
17.1,91.88,pirate pearl sit
355.0,357.55,click everybody's looking
357.56,526.33,click everybody's looking grab
526.34,532.1,guess
532.11,535.1,guess time go home joe ice cream
535.11,537.26,time go home joe ice cream way come cut
537.27,543.74,way come cut treasure sound
543.75,544.43,treasure sound interesting
544.44,547.7,interesting suppose finer fool goes
547.71,549.64,suppose finer fool goes certainly get lot treasure
549.65,552.47,certainly get lot treasure get car
552.48,558.61,get car get ice cream
558.62,573.22,scream minute
573.23,617.44,scream minute aunt tiana needs swim fast
617.45,621.83,keeps cutting
